date,instrument,open,high,low,close,volume,open_interest
2011-04-01,si1s,15.08577572,15.15580253,14.83768074,15.09858062,130330.08286971,180026.04904449
2011-04-04,cl1s,81.67302267,82.04258385,81.13753605,81.80877984,276237.34084461,439396.89837064
2011-04-04,es1s,1044.7623871,1049.28942834,1042.7941083,1046.53383802,1976282.5265291,3361100.31750678
2011-04-04,fesx1s,3013.5472504,3025.04534952,3003.09443302,3014.59253214,676680.0,2035911.0
2011-04-04,gc1s,661.76739999,666.53397637,661.35090302,663.1557232,169006.75373566,732728.50855005
2011-04-04,hg1s,5.67720762,5.74518216,5.62922558,5.67120986,18842.55257691,58987.82854778
2011-04-04,ho1s,3.20873213,3.25203527,3.20873213,3.24660958,34784.09698904,103388.15539106
2011-04-04,ng1s,0.02395302,0.02411882,0.02339481,0.02370431,20581644.2502415,44593683.1672112
2011-04-04,nq1s,1747.18283512,1756.52705821,1735.78288293,1749.61233312,329521.0,481597.0
2011-04-04,pl1s,1905.96910406,1931.28149397,1901.12205067,1924.81875612,3241.96965567,29745.90714994
2011-04-04,rb1s,7.94204604,7.96813983,7.88057509,7.9505767,18281.254791,41261.95745941
2011-04-04,si1s,15.14379794,15.45391667,15.12979257,15.40349736,189055.09087238,180628.31837206
2011-04-05,cl1s,81.60514408,81.90682668,81.07719953,81.71073299,300612.62775105,418852.12734066
2011-04-05,es1s,1046.92749378,1050.47039562,1041.61314102,1044.56555922,2104048.97911987,3397812.59627332
2011-04-05,fesx1s,3019.81894083,3019.81894083,2986.36992522,3007.27555998,906950.0,2022306.0
2011-04-05,gc1s,664.35893666,675.00274799,662.23017439,672.17982411,334005.07490113,776637.59201434
2011-04-05,hg1s,5.66654494,5.71719264,5.61589724,5.68387179,24015.73884822,58065.73341689
2011-04-05,ho1s,3.23483686,3.270974,3.21815031,3.26053211,42944.57176358,101703.1160104
2011-04-05,ng1s,0.02366563,0.0238867,0.02332849,0.02338376,14501238.4917416,43204806.6725752
2011-04-05,nq1s,1749.98610205,1751.48117774,1732.979616,1736.71730524,347875.0,482532.0
2011-04-05,pl1s,1926.86528977,1939.57534088,1921.5873872,1935.37456127,5486.83867841,30317.80099527
2011-04-05,rb1s,7.92925005,8.0471739,7.89412379,8.03211979,19148.52631854,41385.5117671
2011-04-05,si1s,15.44391284,15.74002621,15.23383241,15.67920292,117987.31021874,182760.00192567
2011-04-06,cl1s,81.44676071,82.32164026,81.24312496,82.08029418,315326.10462228,402285.04673274
2011-04-06,es1s,1044.7623871,1052.24184654,1043.97507558,1046.33701014,2768783.31448193,3385659.84636887
2011-04-06,fesx1s,3013.5472504,3041.76985733,2989.50577043,3028.18119473,1176767.0,1952689.0
2011-04-06,gc1s,674.81763823,677.36289746,672.17982411,674.95647055,254940.63322422,775589.56516984
2011-04-06,hg1s,5.65521585,5.83648131,5.65255018,5.8244858,28287.83785168,56433.12234708
2011-04-06,ho1s,3.25449219,3.29697636,3.24077441,3.26687914,50149.70247186,99478.86402792
2011-04-06,ng1s,0.02335613,0.02346114,0.02282003,0.02291399,20826633.6683939,42869710.3635515
2011-04-06,nq1s,1737.27795863,1756.71394268,1731.85830923,1738.3992654,401270.0,480161.0
2011-04-06,pl1s,1937.31338263,1956.80930847,1929.12724802,1936.45168425,4910.30283758,30451.4904656
2011-04-06,rb1s,7.99749534,8.05896628,7.95132941,8.01104404,20409.97594385,39707.16599391
2011-04-06,si1s,15.73202314,15.92009515,15.65399327,15.76083417,198396.5130569,179198.86586014
2011-04-07,cl1s,81.95962114,83.29456666,81.62777028,83.18897775,409969.94462818,368383.19126545
2011-04-07,es1s,1046.33701014,1051.25770714,1041.02265738,1045.94335438,2359129.71258675,3393469.9696091
2011-04-07,fesx1s,3025.04534952,3050.13211123,3013.5472504,3019.81894083,1194099.0,1938087.0
2011-04-07,gc1s,675.6969096,678.65866579,672.7351534,675.32669007,222775.93305858,782813.38731655
2011-04-07,hg1s,5.82848431,5.9137857,5.79782912,5.8864626,31951.45910807,51556.29700066
2011-04-07,ho1s,3.26575305,3.28704632,3.2476333,3.28203012,43689.89642877,97665.85933777
2011-04-07,ng1s,0.02290846,0.02299136,0.02228946,0.0224221,32895709.8567355,37818477.2863295
2011-04-07,nq1s,1738.3992654,1752.41560005,1728.12061999,1741.20253233,309074.0,471617.0
2011-04-07,pl1s,1934.51286289,1949.05402305,1914.15523867,1928.69639883,7401.1976217,31664.90808873
2011-04-07,rb1s,8.00075706,8.0190729,7.92849734,7.99498632,22099.88002325,37987.36974329
2011-04-07,si1s,15.80805225,15.89408519,15.68600553,15.82685945,179933.58445893,173820.92564049
2011-04-08,cl1s,83.20406188,85.38371868,83.04567851,85.06695195,381183.39904367,332122.56537787
2011-04-08,es1s,1045.94335438,1051.6513629,1038.26706706,1042.20362466,1940108.78935532,3414733.47150609
2011-04-08,fesx1s,3040.72457559,3049.08682949,3018.77365909,3035.4981669,929334.0,1896304.0
2011-04-08,gc1s,675.55807727,683.24013241,674.58625102,682.17575127,240981.34783154,780868.59523397
2011-04-08,hg1s,5.89246035,6.03107512,5.8671365,5.99975351,31394.75073776,48454.63608034
2011-04-08,ho1s,3.2810064,3.40897077,3.27588783,3.39842651,56710.12246058,92719.16981679
2011-04-08,ng1s,0.02244421,0.02254369,0.02218445,0.02233367,23631346.3499147,34537356.0833943
2011-04-08,nq1s,1741.01564787,1751.29429328,1722.88785506,1732.79273154,299650.0,467529.0
2011-04-08,pl1s,1929.12724802,1962.62577254,1915.55549854,1951.85454279,5736.57803619,32442.90653416
2011-04-08,rb1s,7.9922264,8.20825286,7.97616869,8.18115547,21597.69154682,36386.34505297
